date,crop,location,market_price
2024-06-14,rice,Hyderabad,2551
2024-06-15,rice,Hyderabad,2555
2024-06-16,rice,Hyderabad,2566
2024-06-17,rice,Hyderabad,2555
2024-06-18,rice,Hyderabad,2556
2024-06-19,rice,Hyderabad,2538
2024-06-20,rice,Hyderabad,2528
2024-06-21,rice,Hyderabad,2538
2024-06-22,rice,Hyderabad,2534
2024-06-23,rice,Hyderabad,2548
2024-06-24,rice,Hyderabad,2554
2024-06-25,rice,Hyderabad,2586
2024-06-26,rice,Hyderabad,2587
2024-06-27,rice,Hyderabad,2569
2024-06-28,rice,Hyderabad,2568
2024-06-29,rice,Hyderabad,2555
2024-06-30,rice,Hyderabad,2566
2024-07-01,rice,Hyderabad,2566
2024-07-02,rice,Hyderabad,2563
2024-07-03,rice,Hyderabad,2561
2024-07-04,rice,Hyderabad,2569
2024-07-05,rice,Hyderabad,2563
2024-07-06,rice,Hyderabad,2572
2024-07-07,rice,Hyderabad,2583
2024-07-08,rice,Hyderabad,2579
2024-07-09,rice,Hyderabad,2566
2024-07-10,rice,Hyderabad,2559
2024-07-11,rice,Hyderabad,2567
2024-07-12,rice,Hyderabad,2568
2024-07-13,rice,Hyderabad,2574
2024-07-14,rice,Hyderabad,2595
2024-07-15,rice,Hyderabad,2597
2024-07-16,rice,Hyderabad,2587
2024-07-17,rice,Hyderabad,2599
2024-07-18,rice,Hyderabad,2599
2024-07-19,rice,Hyderabad,2608
2024-07-20,rice,Hyderabad,2621
2024-07-21,rice,Hyderabad,2608
2024-07-22,rice,Hyderabad,2624
2024-07-23,rice,Hyderabad,2635
2024-07-24,rice,Hyderabad,2627
2024-07-25,rice,Hyderabad,2630
2024-07-26,rice,Hyderabad,2632
2024-07-27,rice,Hyderabad,2632
2024-07-28,rice,Hyderabad,2642
2024-07-29,rice,Hyderabad,2658
2024-07-30,rice,Hyderabad,2658
2024-07-31,rice,Hyderabad,2673
2024-08-01,rice,Hyderabad,2685
2024-08-02,rice,Hyderabad,2687
2024-08-03,rice,Hyderabad,2688
2024-08-04,rice,Hyderabad,2674
2024-08-05,rice,Hyderabad,2655
2024-08-06,rice,Hyderabad,2656
2024-08-07,rice,Hyderabad,2645
2024-08-08,rice,Hyderabad,2644
2024-08-09,rice,Hyderabad,2637
2024-08-10,rice,Hyderabad,2615
2024-08-11,rice,Hyderabad,2618
2024-08-12,rice,Hyderabad,2613
2024-08-13,rice,Hyderabad,2613
2024-08-14,rice,Hyderabad,2602
2024-08-15,rice,Hyderabad,2597
2024-08-16,rice,Hyderabad,2616
2024-08-17,rice,Hyderabad,2617
2024-08-18,rice,Hyderabad,2623
2024-08-19,rice,Hyderabad,2607
2024-08-20,rice,Hyderabad,2636
2024-08-21,rice,Hyderabad,2658
2024-08-22,rice,Hyderabad,2674
2024-08-23,rice,Hyderabad,2684
2024-08-24,rice,Hyderabad,2684
2024-08-25,rice,Hyderabad,2689
2024-08-26,rice,Hyderabad,2701
2024-08-27,rice,Hyderabad,2693
2024-08-28,rice,Hyderabad,2687
2024-08-29,rice,Hyderabad,2667
2024-08-30,rice,Hyderabad,2657
2024-08-31,rice,Hyderabad,2677
2024-09-01,rice,Hyderabad,2673
2024-09-02,rice,Hyderabad,2669
2024-09-03,rice,Hyderabad,2672
2024-09-04,rice,Hyderabad,2652
2024-09-05,rice,Hyderabad,2664
2024-09-06,rice,Hyderabad,2679
2024-09-07,rice,Hyderabad,2683
2024-09-08,rice,Hyderabad,2703
2024-09-09,rice,Hyderabad,2687
2024-09-10,rice,Hyderabad,2709
2024-09-11,rice,Hyderabad,2700
2024-09-12,rice,Hyderabad,2685
2024-09-13,rice,Hyderabad,2682
2024-09-14,rice,Hyderabad,2704
2024-09-15,rice,Hyderabad,2704
2024-09-16,rice,Hyderabad,2693
2024-09-17,rice,Hyderabad,2677
2024-09-18,rice,Hyderabad,2676
2024-09-19,rice,Hyderabad,2652
2024-09-20,rice,Hyderabad,2636
2024-09-21,rice,Hyderabad,2655
2024-09-22,rice,Hyderabad,2671
2024-09-23,rice,Hyderabad,2669
2024-09-24,rice,Hyderabad,2664
2024-09-25,rice,Hyderabad,2665
2024-09-26,rice,Hyderabad,2693
2024-09-27,rice,Hyderabad,2699
2024-09-28,rice,Hyderabad,2710
2024-09-29,rice,Hyderabad,2708
2024-09-30,rice,Hyderabad,2709
2024-10-01,rice,Hyderabad,2717
2024-10-02,rice,Hyderabad,2719
2024-10-03,rice,Hyderabad,2696
2024-10-04,rice,Hyderabad,2712
2024-10-05,rice,Hyderabad,2705
2024-10-06,rice,Hyderabad,2731
2024-10-07,rice,Hyderabad,2739
2024-10-08,rice,Hyderabad,2741
2024-10-09,rice,Hyderabad,2746
2024-10-10,rice,Hyderabad,2745
2024-10-11,rice,Hyderabad,2740
2024-10-12,rice,Hyderabad,2743
2024-10-13,rice,Hyderabad,2754
2024-10-14,rice,Hyderabad,2749
2024-10-15,rice,Hyderabad,2742
2024-10-16,rice,Hyderabad,2738
2024-10-17,rice,Hyderabad,2750
2024-10-18,rice,Hyderabad,2769
2024-10-19,rice,Hyderabad,2774
2024-10-20,rice,Hyderabad,2781
2024-10-21,rice,Hyderabad,2774
2024-10-22,rice,Hyderabad,2785
2024-10-23,rice,Hyderabad,2793
2024-10-24,rice,Hyderabad,2785
2024-10-25,rice,Hyderabad,2764
2024-10-26,rice,Hyderabad,2750
2024-10-27,rice,Hyderabad,2742
2024-10-28,rice,Hyderabad,2757
2024-10-29,rice,Hyderabad,2777
2024-10-30,rice,Hyderabad,2772
2024-10-31,rice,Hyderabad,2768
2024-11-01,rice,Hyderabad,2772
2024-11-02,rice,Hyderabad,2773
2024-11-03,rice,Hyderabad,2785
2024-11-04,rice,Hyderabad,2779
2024-11-05,rice,Hyderabad,2792
2024-11-06,rice,Hyderabad,2790
2024-11-07,rice,Hyderabad,2801
2024-11-08,rice,Hyderabad,2799
2024-11-09,rice,Hyderabad,2792
2024-11-10,rice,Hyderabad,2816
2024-11-11,rice,Hyderabad,2830
2024-11-12,rice,Hyderabad,2809
2024-11-13,rice,Hyderabad,2805
2024-11-14,rice,Hyderabad,2820
2024-11-15,rice,Hyderabad,2807
2024-11-16,rice,Hyderabad,2817
2024-11-17,rice,Hyderabad,2826
2024-11-18,rice,Hyderabad,2819
2024-11-19,rice,Hyderabad,2820
2024-11-20,rice,Hyderabad,2795
2024-11-21,rice,Hyderabad,2818
2024-11-22,rice,Hyderabad,2815
2024-11-23,rice,Hyderabad,2826
2024-11-24,rice,Hyderabad,2835
2024-11-25,rice,Hyderabad,2852
2024-11-26,rice,Hyderabad,2848
2024-11-27,rice,Hyderabad,2852
2024-11-28,rice,Hyderabad,2860
2024-11-29,rice,Hyderabad,2872
2024-11-30,rice,Hyderabad,2887
2024-12-01,rice,Hyderabad,2882
2024-12-02,rice,Hyderabad,2875
2024-12-03,rice,Hyderabad,2893
2024-12-04,rice,Hyderabad,2869
2024-12-05,rice,Hyderabad,2890
2024-12-06,rice,Hyderabad,2887
2024-12-07,rice,Hyderabad,2888
2024-12-08,rice,Hyderabad,2881
2024-12-09,rice,Hyderabad,2882
2024-12-10,rice,Hyderabad,2899
2024-12-11,rice,Hyderabad,2909
2024-12-12,rice,Hyderabad,2916
2024-12-13,rice,Hyderabad,2919
2024-12-14,rice,Hyderabad,2902
2024-12-15,rice,Hyderabad,2893
2024-12-16,rice,Hyderabad,2890
2024-12-17,rice,Hyderabad,2897
2024-12-18,rice,Hyderabad,2899
2024-12-19,rice,Hyderabad,2913
2024-12-20,rice,Hyderabad,2920
2024-12-21,rice,Hyderabad,2922
2024-12-22,rice,Hyderabad,2951
2024-12-23,rice,Hyderabad,2957
2024-12-24,rice,Hyderabad,2953
2024-12-25,rice,Hyderabad,2977
2024-12-26,rice,Hyderabad,2993
2024-12-27,rice,Hyderabad,3016
2024-12-28,rice,Hyderabad,3016
2024-12-29,rice,Hyderabad,3029
2024-12-30,rice,Hyderabad,3013
2024-12-31,rice,Hyderabad,3024
2025-01-01,rice,Hyderabad,3022
2025-01-02,rice,Hyderabad,3007
2025-01-03,rice,Hyderabad,3021
2025-01-04,rice,Hyderabad,3000
2025-01-05,rice,Hyderabad,2978
2025-01-06,rice,Hyderabad,2984
2025-01-07,rice,Hyderabad,2992
2025-01-08,rice,Hyderabad,3005
2025-01-09,rice,Hyderabad,3015
2025-01-10,rice,Hyderabad,3035
2025-01-11,rice,Hyderabad,3044
2025-01-12,rice,Hyderabad,3044
2025-01-13,rice,Hyderabad,3045
2025-01-14,rice,Hyderabad,3042
2025-01-15,rice,Hyderabad,3047
2025-01-16,rice,Hyderabad,3035
2025-01-17,rice,Hyderabad,3040
2025-01-18,rice,Hyderabad,3041
2025-01-19,rice,Hyderabad,3045
2025-01-20,rice,Hyderabad,3050
2025-01-21,rice,Hyderabad,3021
2025-01-22,rice,Hyderabad,3011
2025-01-23,rice,Hyderabad,3011
2025-01-24,rice,Hyderabad,3012
2025-01-25,rice,Hyderabad,3016
2025-01-26,rice,Hyderabad,3021
2025-01-27,rice,Hyderabad,3041
2025-01-28,rice,Hyderabad,3046
2025-01-29,rice,Hyderabad,3043
2025-01-30,rice,Hyderabad,3025
2025-01-31,rice,Hyderabad,3009
2025-02-01,rice,Hyderabad,3017
2025-02-02,rice,Hyderabad,3031
2025-02-03,rice,Hyderabad,3051
2025-02-04,rice,Hyderabad,3042
2025-02-05,rice,Hyderabad,3039
2025-02-06,rice,Hyderabad,3043
2025-02-07,rice,Hyderabad,3069
2025-02-08,rice,Hyderabad,3072
2025-02-09,rice,Hyderabad,3092
2025-02-10,rice,Hyderabad,3095
2025-02-11,rice,Hyderabad,3110
2025-02-12,rice,Hyderabad,3124
2025-02-13,rice,Hyderabad,3127
2025-02-14,rice,Hyderabad,3115
2025-02-15,rice,Hyderabad,3113
2025-02-16,rice,Hyderabad,3132
2025-02-17,rice,Hyderabad,3144
2025-02-18,rice,Hyderabad,3139
2025-02-19,rice,Hyderabad,3136
2025-02-20,rice,Hyderabad,3116
2025-02-21,rice,Hyderabad,3134
2025-02-22,rice,Hyderabad,3146
2025-02-23,rice,Hyderabad,3145
2025-02-24,rice,Hyderabad,3149
2025-02-25,rice,Hyderabad,3123
2025-02-26,rice,Hyderabad,3118
2025-02-27,rice,Hyderabad,3135
2025-02-28,rice,Hyderabad,3148
2025-03-01,rice,Hyderabad,3153
2025-03-02,rice,Hyderabad,3153
2025-03-03,rice,Hyderabad,3164
2025-03-04,rice,Hyderabad,3161
2025-03-05,rice,Hyderabad,3141
2025-03-06,rice,Hyderabad,3142
2025-03-07,rice,Hyderabad,3148
2025-03-08,rice,Hyderabad,3162
2025-03-09,rice,Hyderabad,3145
2025-03-10,rice,Hyderabad,3144
2025-03-11,rice,Hyderabad,3144
2025-03-12,rice,Hyderabad,3131
2025-03-13,rice,Hyderabad,3138
2025-03-14,rice,Hyderabad,3147
2025-03-15,rice,Hyderabad,3144
2025-03-16,rice,Hyderabad,3170
2025-03-17,rice,Hyderabad,3167
2025-03-18,rice,Hyderabad,3162
2025-03-19,rice,Hyderabad,3156
2025-03-20,rice,Hyderabad,3147
2025-03-21,rice,Hyderabad,3141
2025-03-22,rice,Hyderabad,3124
2025-03-23,rice,Hyderabad,3122
2025-03-24,rice,Hyderabad,3123
2025-03-25,rice,Hyderabad,3095
2025-03-26,rice,Hyderabad,3094
2025-03-27,rice,Hyderabad,3095
2025-03-28,rice,Hyderabad,3102
2025-03-29,rice,Hyderabad,3117
2025-03-30,rice,Hyderabad,3128
2025-03-31,rice,Hyderabad,3120
2025-04-01,rice,Hyderabad,3112
2025-04-02,rice,Hyderabad,3119
2025-04-03,rice,Hyderabad,3112
2025-04-04,rice,Hyderabad,3098
2025-04-05,rice,Hyderabad,3127
2025-04-06,rice,Hyderabad,3123
2025-04-07,rice,Hyderabad,3116
2025-04-08,rice,Hyderabad,3089
2025-04-09,rice,Hyderabad,3100
2025-04-10,rice,Hyderabad,3088
2025-04-11,rice,Hyderabad,3088
2025-04-12,rice,Hyderabad,3100
2025-04-13,rice,Hyderabad,3088
2025-04-14,rice,Hyderabad,3089
2025-04-15,rice,Hyderabad,3108
2025-04-16,rice,Hyderabad,3078
2025-04-17,rice,Hyderabad,3068
2025-04-18,rice,Hyderabad,3057
2025-04-19,rice,Hyderabad,3054
2025-04-20,rice,Hyderabad,3054
2025-04-21,rice,Hyderabad,3041
2025-04-22,rice,Hyderabad,3033
2025-04-23,rice,Hyderabad,3023
2025-04-24,rice,Hyderabad,3019
2025-04-25,rice,Hyderabad,3021
2025-04-26,rice,Hyderabad,3032
2025-04-27,rice,Hyderabad,3045
2025-04-28,rice,Hyderabad,3052
2025-04-29,rice,Hyderabad,3042
2025-04-30,rice,Hyderabad,3041
2025-05-01,rice,Hyderabad,3070
2025-05-02,rice,Hyderabad,3082
2025-05-03,rice,Hyderabad,3076
2025-05-04,rice,Hyderabad,3095
2025-05-05,rice,Hyderabad,3090
2025-05-06,rice,Hyderabad,3082
2025-05-07,rice,Hyderabad,3098
2025-05-08,rice,Hyderabad,3082
2025-05-09,rice,Hyderabad,3058
2025-05-10,rice,Hyderabad,3069
2025-05-11,rice,Hyderabad,3069
2025-05-12,rice,Hyderabad,3071
2025-05-13,rice,Hyderabad,3066
2025-05-14,rice,Hyderabad,3062
2025-05-15,rice,Hyderabad,3056
2025-05-16,rice,Hyderabad,3048
2025-05-17,rice,Hyderabad,3043
2025-05-18,rice,Hyderabad,3037
2025-05-19,rice,Hyderabad,3027
2025-05-20,rice,Hyderabad,3020
2025-05-21,rice,Hyderabad,2989
2025-05-22,rice,Hyderabad,2996
2025-05-23,rice,Hyderabad,3001
2025-05-24,rice,Hyderabad,2999
2025-05-25,rice,Hyderabad,3001
2025-05-26,rice,Hyderabad,3004
2025-05-27,rice,Hyderabad,2995
2025-05-28,rice,Hyderabad,2988
2025-05-29,rice,Hyderabad,2993
2025-05-30,rice,Hyderabad,2995
2025-05-31,rice,Hyderabad,3019
2025-06-01,rice,Hyderabad,3039
2025-06-02,rice,Hyderabad,3049
2025-06-03,rice,Hyderabad,3039
2025-06-04,rice,Hyderabad,3032
2025-06-05,rice,Hyderabad,3019
2025-06-06,rice,Hyderabad,3022
2025-06-07,rice,Hyderabad,2987
2025-06-08,rice,Hyderabad,2981
2025-06-09,rice,Hyderabad,2977
2025-06-10,rice,Hyderabad,2957
2025-06-11,rice,Hyderabad,2966
2025-06-12,rice,Hyderabad,2952
2025-06-13,rice,Hyderabad,2954
2025-06-14,rice,Hyderabad,2987
2025-06-15,rice,Hyderabad,2967
2025-06-16,rice,Hyderabad,2964
2025-06-17,rice,Hyderabad,2959
2025-06-18,rice,Hyderabad,2951
2025-06-19,rice,Hyderabad,2959
2025-06-20,rice,Hyderabad,2972
2025-06-21,rice,Hyderabad,2980
2025-06-22,rice,Hyderabad,2971
2025-06-23,rice,Hyderabad,3000
2025-06-24,rice,Hyderabad,2977
2025-06-25,rice,Hyderabad,2964
2025-06-26,rice,Hyderabad,2965
2025-06-27,rice,Hyderabad,2965
2025-06-28,rice,Hyderabad,2971
2025-06-29,rice,Hyderabad,2989
2025-06-30,rice,Hyderabad,2987
2025-07-01,rice,Hyderabad,2987
2025-07-02,rice,Hyderabad,2979
2025-07-03,rice,Hyderabad,2986
2025-07-04,rice,Hyderabad,2981
2025-07-05,rice,Hyderabad,2976
2025-07-06,rice,Hyderabad,2982
2025-07-07,rice,Hyderabad,2994
2025-07-08,rice,Hyderabad,2966
2025-07-09,rice,Hyderabad,2970
2025-07-10,rice,Hyderabad,2966
2025-07-11,rice,Hyderabad,2976
2025-07-12,rice,Hyderabad,2973
2025-07-13,rice,Hyderabad,2988
2025-07-14,rice,Hyderabad,2979
2025-07-15,rice,Hyderabad,2951
2025-07-16,rice,Hyderabad,2963
2025-07-17,rice,Hyderabad,2952
2025-07-18,rice,Hyderabad,2932
2025-07-19,rice,Hyderabad,2931
2025-07-20,rice,Hyderabad,2927
2025-07-21,rice,Hyderabad,2937
2025-07-22,rice,Hyderabad,2947
2025-07-23,rice,Hyderabad,2947
2025-07-24,rice,Hyderabad,2936
2025-07-25,rice,Hyderabad,2939
2025-07-26,rice,Hyderabad,2940
2025-07-27,rice,Hyderabad,2946
2025-07-28,rice,Hyderabad,2935
2025-07-29,rice,Hyderabad,2929
2025-07-30,rice,Hyderabad,2935
2025-07-31,rice,Hyderabad,2949
2025-08-01,rice,Hyderabad,2960
2025-08-02,rice,Hyderabad,2961
2025-08-03,rice,Hyderabad,2954
2025-08-04,rice,Hyderabad,2958
2025-08-05,rice,Hyderabad,2944
2025-08-06,rice,Hyderabad,2934
2025-08-07,rice,Hyderabad,2952
2025-08-08,rice,Hyderabad,2956
2025-08-09,rice,Hyderabad,2951
2025-08-10,rice,Hyderabad,2961
2025-08-11,rice,Hyderabad,2976
2025-08-12,rice,Hyderabad,2970
2025-08-13,rice,Hyderabad,2964
2025-08-14,rice,Hyderabad,2957
2025-08-15,rice,Hyderabad,2968
2025-08-16,rice,Hyderabad,2979
2025-08-17,rice,Hyderabad,2996
2025-08-18,rice,Hyderabad,3008
2025-08-19,rice,Hyderabad,2987
2025-08-20,rice,Hyderabad,2990
2025-08-21,rice,Hyderabad,2977
2025-08-22,rice,Hyderabad,2970
2025-08-23,rice,Hyderabad,2972
2025-08-24,rice,Hyderabad,2982
2025-08-25,rice,Hyderabad,2970
2025-08-26,rice,Hyderabad,2942
2025-08-27,rice,Hyderabad,2943
2025-08-28,rice,Hyderabad,2975
2025-08-29,rice,Hyderabad,2973
2025-08-30,rice,Hyderabad,2973
2025-08-31,rice,Hyderabad,2994
2025-09-01,rice,Hyderabad,3001
2025-09-02,rice,Hyderabad,3004
2025-09-03,rice,Hyderabad,3009
2025-09-04,rice,Hyderabad,3011
2025-09-05,rice,Hyderabad,2997
2025-09-06,rice,Hyderabad,2981
2025-09-07,rice,Hyderabad,3004
2025-09-08,rice,Hyderabad,3006
2025-09-09,rice,Hyderabad,3007
2025-09-10,rice,Hyderabad,3006
2025-09-11,rice,Hyderabad,3015
2025-09-12,rice,Hyderabad,3046
2025-09-13,rice,Hyderabad,3052
2025-09-14,rice,Hyderabad,3045
2025-09-15,rice,Hyderabad,3043
2025-09-16,rice,Hyderabad,3056
2025-09-17,rice,Hyderabad,3049
2025-09-18,rice,Hyderabad,3060
2025-09-19,rice,Hyderabad,3031
2025-09-20,rice,Hyderabad,3029
2025-09-21,rice,Hyderabad,3036
2025-09-22,rice,Hyderabad,3052
2025-09-23,rice,Hyderabad,3042
2025-09-24,rice,Hyderabad,3024
2025-09-25,rice,Hyderabad,3021
2025-09-26,rice,Hyderabad,3007
2025-09-27,rice,Hyderabad,3005
2025-09-28,rice,Hyderabad,3006
2025-09-29,rice,Hyderabad,2990
2025-09-30,rice,Hyderabad,3000
2025-10-01,rice,Hyderabad,2998
2025-10-02,rice,Hyderabad,3011
2025-10-03,rice,Hyderabad,2989
2025-10-04,rice,Hyderabad,2977
2025-10-05,rice,Hyderabad,2984
2025-10-06,rice,Hyderabad,2974
2025-10-07,rice,Hyderabad,2973
2025-10-08,rice,Hyderabad,2973
2025-10-09,rice,Hyderabad,2975
2025-10-10,rice,Hyderabad,2968
2025-10-11,rice,Hyderabad,2970
2025-10-12,rice,Hyderabad,2961
2025-10-13,rice,Hyderabad,2969
2025-10-14,rice,Hyderabad,2968
2025-10-15,rice,Hyderabad,2971
2025-10-16,rice,Hyderabad,3003
2025-10-17,rice,Hyderabad,2990
2025-10-18,rice,Hyderabad,3007
2025-10-19,rice,Hyderabad,2975
2025-10-20,rice,Hyderabad,2950
2025-10-21,rice,Hyderabad,2936
2025-10-22,rice,Hyderabad,2922
2025-10-23,rice,Hyderabad,2925
2025-10-24,rice,Hyderabad,2930
2025-10-25,rice,Hyderabad,2927
2025-10-26,rice,Hyderabad,2926
2025-10-27,rice,Hyderabad,2933
2025-10-28,rice,Hyderabad,2944
2025-10-29,rice,Hyderabad,2928
2025-10-30,rice,Hyderabad,2925
2025-10-31,rice,Hyderabad,2925
2025-11-01,rice,Hyderabad,2931
2025-11-02,rice,Hyderabad,2923
2025-11-03,rice,Hyderabad,2922
2025-11-04,rice,Hyderabad,2924
2025-11-05,rice,Hyderabad,2916
2025-11-06,rice,Hyderabad,2908
2025-11-07,rice,Hyderabad,2910
2025-11-08,rice,Hyderabad,2909
2025-11-09,rice,Hyderabad,2916
2025-11-10,rice,Hyderabad,2904
2025-11-11,rice,Hyderabad,2901
2025-11-12,rice,Hyderabad,2899
2025-11-13,rice,Hyderabad,2910
2025-11-14,rice,Hyderabad,2899
2025-11-15,rice,Hyderabad,2903
2025-11-16,rice,Hyderabad,2907
2025-11-17,rice,Hyderabad,2928
2025-11-18,rice,Hyderabad,2917
2025-11-19,rice,Hyderabad,2910
2025-11-20,rice,Hyderabad,2900
2025-11-21,rice,Hyderabad,2880
2025-11-22,rice,Hyderabad,2903
2025-11-23,rice,Hyderabad,2889
2025-11-24,rice,Hyderabad,2880
2025-11-25,rice,Hyderabad,2897
2025-11-26,rice,Hyderabad,2877
2025-11-27,rice,Hyderabad,2887
2025-11-28,rice,Hyderabad,2871
