soil_type,land_area,location,budget,water_availability,crop
red,17.3,Hyderabad,239663,medium,cotton
loamy,2.5,Nashik,24414,medium,tomato
black,12.3,Warangal,164259,medium,cotton
red,5.4,Nashik,32267,medium,groundnut
sandy,3.8,Jaipur,24961,medium,groundnut
sandy,16.7,Vijayawada,83763,low,groundnut
red,11.3,Nashik,78168,medium,groundnut
loamy,1.5,Pune,15336,medium,potato
red,1.8,Hyderabad,33458,high,cotton
black,16.5,Pune,129294,high,maize
loamy,8.8,Lucknow,57485,medium,wheat
loamy,7.1,Delhi,50794,medium,potato
sandy,4.6,Lucknow,60053,high,tomato
red,3.5,Jaipur,11669,medium,millet
red,5.5,Jaipur,39208,low,groundnut
loamy,9.8,Warangal,41314,high,maize
loamy,8.9,Lucknow,103861,medium,wheat
loamy,18.5,Lucknow,146072,medium,potato
loamy,16.0,Pune,167017,medium,onion
clay,13.5,Pune,92426,high,groundnut
black,8.2,Hyderabad,62459,high,maize
loamy,1.8,Delhi,7600,high,millet
loamy,1.7,Pune,13589,medium,potato
clay,9.7,Jaipur,61175,low,onion
loamy,12.8,Bengaluru,119557,medium,maize
loamy,12.7,Bengaluru,147711,high,tomato
red,9.4,Warangal,116058,medium,cotton
sandy,9.2,Hyderabad,45287,medium,groundnut
black,8.3,Pune,74990,medium,cotton
loamy,5.9,Vijayawada,96529,medium,chilli
black,19.0,Lucknow,153341,medium,rice
loamy,20.0,Nashik,210792,medium,soybean
loamy,1.4,Pune,13737,medium,potato
loamy,15.7,Bengaluru,225863,medium,chilli
red,15.4,Pune,248525,medium,cotton
loamy,16.0,Bengaluru,263545,medium,chilli
loamy,4.3,Vijayawada,44213,high,rice
black,19.4,Pune,132730,high,maize
red,19.4,Warangal,67771,low,groundnut
red,11.2,Warangal,147521,medium,chilli
loamy,5.4,Pune,58691,medium,potato
clay,9.8,Bengaluru,66918,high,rice
sandy,10.4,Jaipur,33735,low,groundnut
loamy,15.1,Pune,148928,medium,wheat
loamy,18.8,Vijayawada,131081,medium,onion
red,2.9,Warangal,18243,low,groundnut
red,3.3,Vijayawada,38332,medium,chilli
loamy,3.4,Lucknow,35262,medium,potato
black,16.0,Pune,114451,medium,soybean
black,3.1,Hyderabad,20592,medium,soybean
clay,6.0,Bengaluru,61461,high,rice
loamy,10.8,Bengaluru,74928,medium,maize
loamy,1.6,Lucknow,17605,medium,wheat
black,9.4,Warangal,116804,high,potato
loamy,12.1,Jaipur,104115,medium,wheat
red,16.1,Pune,96078,medium,millet
red,5.3,Bengaluru,56376,high,wheat
black,13.6,Warangal,55055,medium,millet
black,2.8,Warangal,7166,low,millet
red,3.3,Lucknow,18747,low,millet
black,7.7,Hyderabad,29914,high,millet
black,17.1,Pune,180449,medium,soybean
red,1.5,Delhi,10987,low,millet
clay,6.9,Vijayawada,79914,low,chilli
sandy,15.1,Pune,69858,low,millet
loamy,8.0,Vijayawada,95568,medium,rice
sandy,1.9,Jaipur,5760,low,millet
loamy,15.3,Pune,159557,medium,wheat
loamy,1.9,Pune,22622,medium,wheat
sandy,15.5,Bengaluru,152671,low,tomato
sandy,8.2,Nashik,47742,medium,groundnut
red,1.4,Hyderabad,24816,medium,cotton
red,8.7,Delhi,91129,medium,wheat
red,9.3,Jaipur,41444,medium,millet
loamy,15.8,Vijayawada,180910,high,tomato
loamy,16.6,Lucknow,159389,medium,wheat
loamy,15.4,Pune,79109,high,maize
red,18.6,Bengaluru,290070,medium,chilli
loamy,9.4,Pune,74090,medium,soybean
sandy,9.6,Nashik,33467,medium,groundnut
clay,10.6,Bengaluru,76144,high,rice
loamy,10.0,Pune,84672,medium,potato
black,13.3,Nashik,115459,low,maize
clay,7.9,Bengaluru,101527,medium,rice
red,7.3,Nashik,52866,low,groundnut
sandy,12.1,Vijayawada,84346,medium,onion
clay,18.8,Delhi,91086,high,maize
red,2.8,Nashik,25355,low,groundnut
red,5.1,Vijayawada,61445,medium,chilli
loamy,10.6,Lucknow,90521,medium,potato
red,3.9,Nashik,26198,low,onion
red,13.9,Jaipur,59578,low,maize
red,6.9,Jaipur,76362,medium,cotton
loamy,15.8,Jaipur,190408,medium,potato
loamy,13.2,Vijayawada,68056,medium,onion
sandy,6.2,Delhi,15807,low,millet
sandy,8.9,Nashik,80879,medium,onion
loamy,7.1,Nashik,84589,high,tomato
clay,16.8,Vijayawada,92433,low,wheat
black,5.9,Warangal,58625,high,maize
black,1.9,Hyderabad,10558,medium,maize
loamy,1.3,Nashik,17616,medium,tomato
loamy,5.6,Pune,28114,medium,onion
loamy,15.9,Nashik,220930,high,tomato
sandy,15.2,Nashik,147941,medium,onion
red,15.0,Pune,40188,low,millet
red,19.6,Pune,82167,medium,millet
loamy,4.8,Pune,57594,medium,potato
clay,10.0,Lucknow,147784,medium,cotton
loamy,6.2,Vijayawada,42169,medium,rice
red,14.1,Delhi,77177,medium,millet
red,12.4,Warangal,59296,medium,millet
black,6.8,Warangal,41813,medium,maize
black,17.5,Nashik,138778,medium,soybean
red,13.1,Pune,31122,medium,millet
sandy,9.3,Jaipur,55628,low,millet
black,3.9,Bengaluru,30097,high,maize
clay,8.6,Warangal,67119,medium,potato
loamy,8.4,Bengaluru,87682,medium,chilli
sandy,20.0,Nashik,174860,medium,onion
black,2.7,Pune,46845,medium,cotton
clay,6.5,Nashik,57531,high,chilli
loamy,4.8,Lucknow,21453,medium,groundnut
black,9.9,Hyderabad,75544,medium,maize
loamy,11.0,Pune,124909,medium,onion
sandy,13.9,Nashik,110810,low,tomato
sandy,16.8,Delhi,61461,low,millet
loamy,18.9,Pune,150353,medium,onion
clay,6.8,Lucknow,32630,low,groundnut
loamy,1.8,Nashik,20013,medium,onion
clay,1.6,Bengaluru,18336,high,rice
red,9.6,Warangal,162990,medium,chilli
clay,3.7,Vijayawada,32093,medium,rice
red,3.0,Jaipur,13284,medium,millet
red,6.5,Pune,64001,medium,cotton
black,4.6,Vijayawada,52168,low,tomato
black,19.0,Hyderabad,137928,high,maize
loamy,6.3,Vijayawada,60640,medium,onion
black,3.5,Lucknow,20570,medium,soybean
red,11.7,Jaipur,65814,medium,groundnut
sandy,6.3,Pune,31193,medium,millet
black,19.7,Pune,149353,medium,soybean
loamy,1.9,Lucknow,19495,low,onion
black,7.2,Pune,49600,high,maize
loamy,10.7,Hyderabad,77087,medium,soybean
loamy,3.1,Lucknow,33566,medium,potato
loamy,14.7,Bengaluru,214355,high,tomato
loamy,19.0,Hyderabad,125156,medium,soybean
loamy,4.9,Pune,34225,medium,wheat
sandy,11.7,Vijayawada,79674,medium,onion
red,11.4,Warangal,162657,medium,chilli
red,6.7,Warangal,75247,medium,chilli
sandy,18.7,Warangal,114900,medium,groundnut
red,6.5,Warangal,25738,medium,groundnut
loamy,11.2,Pune,87411,medium,wheat
loamy,13.7,Vijayawada,111465,medium,onion
loamy,10.0,Nashik,104172,medium,onion
loamy,10.1,Vijayawada,178515,medium,chilli
red,15.6,Nashik,256866,medium,cotton
loamy,19.9,Vijayawada,169985,medium,chilli
loamy,12.5,Nashik,89017,high,tomato
red,16.4,Pune,83102,low,millet
red,7.4,Pune,23829,medium,millet
sandy,10.8,Nashik,86276,low,groundnut
loamy,5.7,Jaipur,64170,medium,wheat
red,11.9,Warangal,59247,medium,groundnut
sandy,4.0,Nashik,15098,low,groundnut
red,5.2,Bengaluru,61708,medium,chilli
black,9.9,Bengaluru,85141,high,maize
loamy,14.4,Warangal,171184,low,onion
sandy,11.2,Lucknow,130204,low,wheat
black,2.7,Pune,23485,medium,maize
loamy,11.7,Nashik,137208,medium,onion
sandy,12.0,Pune,93158,medium,onion
loamy,8.8,Hyderabad,107249,high,rice
black,8.1,Bengaluru,60046,high,maize
red,11.2,Nashik,107013,low,chilli
loamy,14.7,Nashik,130985,medium,onion
loamy,4.6,Bengaluru,53070,medium,tomato
loamy,12.3,Jaipur,94722,medium,wheat
loamy,5.5,Pune,36188,medium,potato
black,7.1,Nashik,91196,medium,cotton
loamy,13.5,Nashik,145025,medium,soybean
red,11.6,Pune,187978,medium,cotton
black,3.8,Nashik,57481,high,rice
loamy,16.3,Nashik,161171,medium,tomato
clay,7.3,Vijayawada,67035,high,rice
clay,8.2,Lucknow,61472,low,wheat
black,5.1,Hyderabad,49708,medium,soybean
clay,15.2,Hyderabad,145084,medium,cotton
red,7.1,Bengaluru,90997,high,potato
red,10.4,Warangal,55710,medium,groundnut
black,1.9,Bengaluru,18731,medium,wheat
black,7.3,Hyderabad,86643,medium,cotton
loamy,16.6,Vijayawada,189645,high,tomato
red,14.7,Bengaluru,185455,medium,chilli
loamy,8.8,Lucknow,58395,medium,potato
loamy,2.1,Warangal,30720,medium,chilli
red,8.8,Warangal,71162,medium,chilli
clay,16.3,Hyderabad,218491,medium,rice
loamy,5.8,Pune,30495,medium,maize
red,5.6,Delhi,26100,low,millet
black,11.5,Warangal,153088,medium,cotton
loamy,7.3,Vijayawada,85316,high,rice
sandy,18.6,Bengaluru,208922,low,wheat
red,1.3,Hyderabad,13535,high,chilli
red,11.8,Nashik,119524,medium,cotton
loamy,14.1,Vijayawada,124562,high,tomato
loamy,2.4,Delhi,25749,medium,wheat
loamy,19.9,Pune,182196,medium,soybean
loamy,12.8,Lucknow,140564,medium,potato
black,13.0,Pune,168747,medium,cotton
loamy,15.5,Nashik,171126,medium,tomato
loamy,1.5,Pune,17574,medium,wheat
red,15.8,Jaipur,61819,medium,millet
loamy,4.2,Lucknow,30334,high,onion
red,9.0,Jaipur,36862,low,groundnut
loamy,4.7,Lucknow,58742,medium,potato
loamy,9.4,Lucknow,95304,medium,wheat
red,14.2,Pune,159082,low,tomato
loamy,7.2,Delhi,86574,medium,potato
black,19.9,Warangal,133234,medium,groundnut
loamy,16.8,Pune,115473,high,maize
black,5.6,Jaipur,38215,high,wheat
red,12.1,Warangal,181821,medium,chilli
sandy,5.7,Pune,34848,medium,onion
loamy,2.9,Vijayawada,39561,medium,chilli
black,13.9,Nashik,182459,medium,cotton
loamy,19.3,Nashik,171233,medium,onion
loamy,4.9,Pune,46533,medium,wheat
loamy,6.7,Pune,79932,medium,potato
loamy,11.5,Jaipur,94265,medium,wheat
red,13.5,Delhi,43318,low,millet
loamy,14.4,Vijayawada,181874,high,tomato
black,9.7,Pune,124105,medium,cotton
red,12.2,Nashik,67670,medium,groundnut
red,2.6,Pune,15123,low,millet
loamy,3.7,Warangal,19238,high,maize
loamy,11.2,Bengaluru,105667,high,tomato
loamy,4.6,Vijayawada,66321,high,chilli
loamy,8.3,Delhi,64652,medium,potato
sandy,17.0,Vijayawada,194565,medium,onion
loamy,11.2,Delhi,71998,medium,potato
black,16.6,Warangal,95542,medium,maize
sandy,15.0,Pune,31548,medium,millet
red,16.5,Vijayawada,188835,medium,chilli
sandy,13.0,Bengaluru,163735,low,potato
loamy,6.3,Warangal,48736,medium,maize
sandy,19.7,Vijayawada,194541,medium,onion
loamy,14.3,Hyderabad,149666,medium,chilli
black,13.0,Bengaluru,93698,medium,maize
red,15.2,Bengaluru,140147,medium,chilli
red,14.9,Pune,9336,medium,millet
loamy,9.2,Pune,103157,medium,potato
red,11.8,Nashik,179048,medium,cotton
loamy,18.7,Lucknow,224845,medium,potato
loamy,4.0,Pune,33963,high,maize
red,13.3,Jaipur,72309,medium,groundnut
clay,2.8,Vijayawada,40855,high,rice
black,7.5,Hyderabad,60912,medium,cotton
black,8.3,Vijayawada,93467,high,wheat
loamy,15.3,Jaipur,153250,medium,wheat
loamy,9.4,Warangal,75196,medium,maize
black,2.9,Hyderabad,31457,medium,cotton
loamy,5.7,Pune,51996,medium,wheat
red,12.5,Bengaluru,149420,medium,chilli
red,5.6,Pune,81123,medium,cotton
loamy,16.9,Vijayawada,164433,medium,chilli
loamy,1.3,Nashik,9384,high,tomato
black,15.6,Nashik,253325,medium,cotton
loamy,10.7,Bengaluru,86622,medium,tomato
loamy,15.5,Nashik,203378,high,cotton
loamy,17.1,Bengaluru,234854,medium,chilli
clay,6.9,Vijayawada,96775,high,rice
loamy,4.1,Bengaluru,40173,medium,chilli
red,17.6,Delhi,49839,low,millet
loamy,6.0,Pune,51388,medium,wheat
loamy,17.3,Hyderabad,127328,medium,soybean
black,1.0,Warangal,5496,medium,maize
clay,19.2,Vijayawada,152966,medium,rice
clay,14.7,Vijayawada,136033,high,rice
red,2.0,Warangal,12580,medium,groundnut
sandy,7.2,Warangal,101750,medium,cotton
sandy,5.6,Pune,50307,medium,onion
red,5.7,Pune,31816,low,millet
sandy,14.2,Lucknow,149676,low,rice
sandy,3.0,Delhi,47022,high,rice
black,2.8,Hyderabad,19224,medium,onion
red,12.0,Nashik,150784,medium,cotton
sandy,19.3,Vijayawada,112252,medium,onion
red,5.4,Nashik,65711,medium,cotton
black,7.0,Warangal,71080,medium,cotton
loamy,3.3,Lucknow,36540,medium,wheat
clay,3.8,Hyderabad,21117,high,maize
black,16.6,Hyderabad,280138,high,cotton
black,16.3,Pune,75315,high,maize
loamy,14.0,Pune,80329,medium,maize
red,13.3,Warangal,117638,medium,chilli
black,18.6,Warangal,130590,medium,maize
black,4.3,Hyderabad,51670,medium,tomato
clay,12.8,Jaipur,127334,medium,cotton
red,8.3,Hyderabad,73033,medium,cotton
loamy,15.8,Bengaluru,184967,medium,tomato
red,7.1,Delhi,26782,medium,millet
red,12.1,Hyderabad,180764,medium,cotton
sandy,16.0,Bengaluru,183894,low,cotton
loamy,12.3,Vijayawada,101804,medium,rice
sandy,11.7,Nashik,66924,high,millet
black,2.7,Pune,27812,high,cotton
black,16.3,Warangal,190191,medium,cotton
red,18.4,Jaipur,54611,low,millet
clay,7.4,Nashik,75369,low,wheat
sandy,4.3,Pune,22329,medium,millet
sandy,14.9,Vijayawada,108743,medium,onion
sandy,7.0,Nashik,22485,medium,groundnut
black,5.5,Pune,39436,medium,soybean
sandy,5.7,Delhi,11825,medium,millet
loamy,9.0,Delhi,90525,medium,wheat
black,16.7,Nashik,126559,medium,maize
black,1.6,Nashik,8772,medium,soybean
loamy,14.9,Vijayawada,108531,high,rice
sandy,13.4,Jaipur,72443,medium,onion
loamy,4.6,Warangal,32981,low,soybean
sandy,8.5,Pune,68963,medium,onion
loamy,6.6,Nashik,33329,low,onion
red,13.1,Warangal,109217,medium,chilli
loamy,13.6,Pune,151947,medium,wheat
loamy,9.5,Lucknow,94996,medium,wheat
red,15.3,Warangal,102476,low,groundnut
red,17.0,Bengaluru,186694,medium,chilli
sandy,18.2,Pune,162289,medium,onion
loamy,19.5,Vijayawada,143543,high,rice
red,16.8,Hyderabad,161538,medium,cotton
sandy,7.2,Warangal,47851,low,groundnut
sandy,11.8,Jaipur,67448,medium,groundnut
black,6.4,Hyderabad,64696,medium,soybean
black,10.0,Delhi,113646,medium,onion
loamy,14.1,Warangal,95403,high,maize
clay,6.9,Hyderabad,71859,medium,rice
sandy,15.7,Vijayawada,170222,low,potato
red,16.7,Jaipur,81743,low,millet
loamy,14.5,Pune,117212,medium,potato
loamy,1.6,Nashik,14825,medium,tomato
loamy,13.1,Nashik,158308,medium,rice
loamy,17.5,Pune,189822,medium,wheat
loamy,6.4,Nashik,54402,medium,soybean
loamy,6.1,Vijayawada,60697,medium,tomato
loamy,1.2,Nashik,11124,high,tomato
red,5.8,Warangal,37556,medium,groundnut
loamy,11.7,Lucknow,153934,medium,potato
loamy,6.3,Nashik,34134,medium,soybean
clay,15.5,Pune,50133,high,millet
red,1.5,Nashik,22384,medium,rice
clay,12.1,Delhi,134176,medium,potato
clay,15.9,Bengaluru,151015,high,soybean
red,2.9,Bengaluru,44419,medium,chilli
loamy,15.1,Warangal,82391,high,maize
red,17.2,Warangal,117603,medium,groundnut
loamy,13.9,Lucknow,174581,medium,potato
loamy,19.8,Nashik,150978,medium,onion
loamy,4.4,Delhi,45583,medium,potato
red,4.0,Warangal,40839,medium,chilli
loamy,1.1,Pune,12248,medium,wheat
sandy,13.9,Pune,166246,medium,onion
loamy,10.6,Vijayawada,102711,medium,chilli
sandy,12.3,Warangal,73649,medium,groundnut
sandy,4.1,Delhi,17852,medium,millet
loamy,4.2,Nashik,30606,medium,tomato
sandy,12.8,Pune,47055,medium,millet
sandy,8.9,Hyderabad,47312,high,soybean
loamy,14.0,Vijayawada,126097,high,tomato
loamy,9.0,Bengaluru,125442,medium,rice
loamy,12.6,Delhi,80549,medium,wheat
loamy,11.4,Delhi,56265,medium,groundnut
red,2.7,Pune,21696,medium,cotton
black,14.7,Warangal,172092,low,wheat
red,16.5,Warangal,99702,medium,groundnut
clay,2.8,Nashik,32434,high,rice
loamy,17.7,Vijayawada,184862,high,rice
loamy,9.7,Delhi,99454,medium,wheat
loamy,14.2,Vijayawada,130441,high,tomato
loamy,11.8,Delhi,162167,low,rice
loamy,10.2,Pune,53384,medium,potato
loamy,7.0,Lucknow,47810,medium,potato
loamy,12.7,Bengaluru,188676,medium,chilli
loamy,16.7,Bengaluru,201144,high,tomato
black,15.3,Nashik,163676,medium,soybean
red,8.2,Pune,28367,low,millet
red,3.3,Warangal,47959,medium,cotton
loamy,11.4,Delhi,130012,medium,potato
loamy,2.0,Pune,18935,medium,wheat
clay,14.6,Jaipur,253940,high,cotton
loamy,11.4,Lucknow,109077,medium,wheat
sandy,3.0,Delhi,10806,low,millet
black,14.6,Pune,105762,medium,soybean
loamy,19.2,Pune,211104,medium,wheat
sandy,10.2,Hyderabad,96494,high,maize
loamy,13.5,Vijayawada,90215,medium,onion
red,6.2,Delhi,53430,medium,soybean
black,17.8,Vijayawada,83745,low,millet
sandy,6.5,Nashik,50365,medium,onion
loamy,13.1,Vijayawada,69458,high,millet
loamy,3.0,Lucknow,35885,medium,wheat
loamy,3.8,Bengaluru,33255,medium,tomato
clay,9.6,Bengaluru,61664,high,rice
red,15.9,Lucknow,120022,low,soybean
sandy,19.4,Warangal,112112,medium,groundnut
clay,15.3,Bengaluru,186923,high,rice
loamy,14.0,Pune,152356,medium,onion
red,11.6,Delhi,49487,low,maize
black,3.9,Hyderabad,27518,medium,maize
red,11.5,Pune,82970,low,maize
loamy,10.6,Jaipur,125330,medium,wheat
loamy,7.3,Bengaluru,73541,medium,tomato
red,5.6,Jaipur,41349,low,groundnut
loamy,16.1,Bengaluru,196523,medium,chilli
loamy,10.2,Lucknow,129142,medium,wheat
loamy,19.5,Lucknow,51413,medium,groundnut
loamy,16.9,Vijayawada,144900,medium,onion
red,7.3,Pune,60671,medium,cotton
loamy,8.4,Delhi,72702,medium,wheat
red,1.1,Vijayawada,18507,medium,chilli
black,16.0,Nashik,132723,medium,soybean
red,10.0,Warangal,37912,medium,groundnut
sandy,17.9,Vijayawada,123302,medium,onion
loamy,12.3,Warangal,105133,medium,chilli
loamy,18.2,Nashik,173023,medium,onion
loamy,4.4,Vijayawada,36575,medium,onion
red,2.3,Lucknow,12602,medium,soybean
loamy,5.5,Lucknow,36742,medium,wheat
sandy,13.5,Warangal,80368,medium,groundnut
loamy,5.7,Nashik,34798,medium,soybean
red,7.3,Nashik,71249,medium,cotton
loamy,12.5,Delhi,92830,medium,potato
loamy,12.9,Bengaluru,60952,high,groundnut
red,5.0,Hyderabad,51550,high,wheat
clay,15.7,Vijayawada,174967,high,rice
sandy,5.5,Warangal,34600,medium,groundnut
black,11.8,Pune,72853,medium,soybean
black,5.4,Warangal,29343,high,maize
sandy,18.4,Nashik,98760,low,groundnut
clay,6.2,Bengaluru,79568,high,rice
sandy,13.4,Nashik,73440,medium,groundnut
loamy,10.3,Pune,101831,medium,wheat
sandy,2.5,Vijayawada,29414,high,potato
loamy,16.5,Warangal,210335,medium,chilli
red,5.0,Vijayawada,84251,medium,chilli
black,12.3,Pune,52675,medium,maize
loamy,4.4,Warangal,22396,medium,maize
loamy,19.9,Nashik,195792,high,tomato
loamy,10.7,Pune,89706,medium,potato
black,3.5,Warangal,19271,high,maize
clay,18.1,Bengaluru,131445,high,rice
black,12.5,Nashik,116515,medium,soybean
black,9.2,Delhi,113406,high,rice
loamy,5.8,Pune,42227,medium,potato
sandy,1.1,Lucknow,14691,medium,cotton
loamy,16.3,Vijayawada,237640,high,rice
loamy,17.2,Vijayawada,252365,high,tomato
loamy,11.6,Nashik,144027,high,tomato
black,14.4,Hyderabad,112112,high,maize
sandy,19.0,Bengaluru,131609,high,maize
loamy,13.1,Delhi,93099,medium,wheat
black,5.2,Delhi,32007,high,wheat
loamy,13.2,Lucknow,64701,medium,wheat
loamy,5.4,Lucknow,68535,medium,potato
black,6.2,Warangal,31197,medium,maize
loamy,15.0,Vijayawada,144381,high,tomato
red,16.5,Lucknow,157779,medium,wheat
black,4.3,Hyderabad,66802,medium,cotton
loamy,17.6,Pune,109514,medium,onion
loamy,15.4,Hyderabad,125808,medium,soybean
loamy,13.0,Lucknow,121929,medium,potato
black,1.2,Hyderabad,15153,medium,cotton
sandy,11.5,Nashik,73662,medium,groundnut
black,10.5,Hyderabad,46662,medium,maize
black,5.7,Pune,62723,medium,cotton
black,12.7,Pune,135351,medium,soybean
black,17.5,Nashik,231318,medium,onion
loamy,16.2,Lucknow,124428,medium,potato
sandy,9.7,Nashik,99966,high,potato
loamy,8.2,Delhi,42269,medium,wheat
loamy,19.2,Lucknow,155677,medium,wheat
red,8.1,Jaipur,38445,medium,millet
loamy,16.3,Vijayawada,159166,medium,tomato
sandy,1.2,Nashik,8352,medium,onion
loamy,11.8,Bengaluru,121414,high,tomato
loamy,13.0,Nashik,134329,medium,tomato
loamy,8.8,Delhi,82524,medium,potato
red,7.7,Lucknow,23169,low,millet
red,13.0,Vijayawada,208564,medium,chilli
clay,4.1,Delhi,33134,medium,maize
red,15.2,Hyderabad,181415,medium,cotton
black,5.5,Vijayawada,29164,low,onion
sandy,2.2,Vijayawada,12324,low,groundnut
loamy,12.7,Pune,90055,medium,potato
loamy,9.4,Jaipur,77480,medium,wheat
loamy,18.4,Warangal,153614,medium,maize
loamy,9.7,Lucknow,80707,medium,potato
black,11.3,Lucknow,149329,high,chilli
loamy,1.0,Lucknow,7041,medium,wheat
black,1.2,Bengaluru,10741,medium,maize
loamy,17.8,Vijayawada,211773,medium,tomato
loamy,9.0,Bengaluru,89020,high,tomato
red,2.3,Nashik,30847,medium,cotton
black,4.6,Hyderabad,39516,high,maize
loamy,14.6,Hyderabad,141584,high,rice
loamy,6.9,Vijayawada,61041,high,rice
black,15.3,Hyderabad,158027,high,potato
black,17.0,Bengaluru,88230,medium,maize
sandy,9.4,Bengaluru,113209,high,tomato
loamy,6.9,Vijayawada,76591,high,rice
sandy,4.8,Delhi,24737,low,millet
loamy,1.3,Bengaluru,18584,low,rice
red,14.1,Jaipur,46180,low,groundnut
black,12.8,Pune,105935,medium,soybean
red,3.4,Bengaluru,51101,medium,chilli
red,7.8,Pune,64582,medium,cotton
loamy,14.2,Bengaluru,108823,high,maize
red,18.4,Hyderabad,248988,medium,cotton
loamy,9.6,Pune,81135,medium,onion
loamy,5.5,Bengaluru,70246,medium,chilli
loamy,7.1,Pune,49843,medium,wheat
loamy,1.6,Warangal,15521,medium,chilli
loamy,14.3,Pune,163323,medium,wheat
sandy,18.6,Jaipur,81241,low,groundnut
loamy,2.1,Pune,20658,medium,wheat
black,2.8,Nashik,19361,medium,soybean
black,4.4,Pune,68074,medium,cotton
loamy,9.1,Vijayawada,100212,medium,onion
loamy,12.4,Lucknow,87707,medium,wheat
red,9.2,Nashik,43260,medium,millet
sandy,9.6,Pune,35184,medium,millet
loamy,19.9,Vijayawada,143550,high,tomato
sandy,18.9,Warangal,59387,low,groundnut
red,7.8,Vijayawada,28218,high,groundnut
loamy,11.8,Hyderabad,109921,medium,maize
sandy,10.3,Nashik,105020,high,soybean
sandy,11.9,Pune,62413,high,soybean
loamy,17.5,Pune,161861,medium,wheat
black,7.1,Warangal,85163,medium,cotton
black,8.5,Pune,80024,medium,soybean
loamy,3.8,Delhi,37233,medium,potato
